,mean_impulsivity,upps_impulsivity_survey.lack_of_perseverance,upps_impulsivity_survey.lack_of_premeditation,upps_impulsivity_survey.negative_urgency,upps_impulsivity_survey.positive_urgency,upps_impulsivity_survey.sensation_seeking,Sex,Age,EverArrested
s508,2.394405629704627,1.0,1.4545454544999998,3.1666666667000003,2.9285714286,3.6666666667,1,29,False
s509,2.1477695547220894,1.8,1.6363636363999998,1.8333333333,1.2857142857,1.6666666666999999,1,34,False
s512,2.1601632890912033,1.5,2.0909090909,1.9166666666999999,1.5714285713999998,2.3333333333,1,48,False
s514,1.8869086443597674,1.8,1.1818181818,1.6666666666999999,1.1428571429,2.0833333333,0,45,True
s515,1.8184635688073252,1.7000000000000002,1.2727272726999999,1.75,1.2142857143,2.0,0,20,False
s516,2.467623902015723,1.5,1.3636363636000002,2.6666666667000003,2.2857142857,2.9166666667000003,1,28,True
s520,1.9964005733510564,1.7000000000000002,1.3636363636000002,2.0,1.5,2.8333333332999997,1,28,False
s521,1.7370628174837972,1.1,1.5454545455000002,1.0833333333,1.2142857143,2.9166666667000003,0,45,False
s522,2.0111642602676953,2.1,1.2727272726999999,1.75,1.5714285713999998,2.1666666667,1,26,False
s523,2.0041927811510565,1.2,1.1818181818,1.8333333333,1.1428571429,2.6666666667000003,1,43,True
s526,3.2416138366788068,2.3,2.8181818182,2.6666666667000003,2.8571428571,2.5833333333,0,30,True
s527,2.536425915346759,2.1,2.0,2.4166666667,2.0714285714,2.25,1,39,False
s529,2.099208788411654,1.6,1.7272727273,1.5,1.0714285714,2.3333333333,1,43,True
s533,2.0892587754480334,1.2,1.2727272726999999,1.25,1.0714285714,2.8333333332999997,0,28,False
s535,2.556880037294908,2.3,1.8181818182,2.3333333333,2.0714285714,2.5,0,31,False
s539,2.3288723419980353,2.6,1.0,2.3333333333,1.5714285713999998,1.8333333333,0,29,False
s543,2.6551765843849946,2.1,2.0,2.75,1.8571428571000002,2.0,1,43,False
s545,2.3172129675517694,2.1,2.0909090909,2.75,2.0,1.3333333333,0,35,True
